stage,run_type,repetition,input_index,session_id,label,latency_ns,latency_ms,child_pid
Visual feature extraction,warm,13,12.0,focused_20260611_204136_cbee82eb,focused,1094203100,1094.2031,
Visual feature extraction,warm,14,13.0,focused_20260611_204247_e04a8459,focused,1301592800,1301.5928,
Visual feature extraction,warm,15,14.0,focused_20260611_204500_f993608f,focused,1390333000,1390.333,
Visual feature extraction,warm,16,15.0,overloaded_20260612_223559_d6295534,overloaded,1224283200,1224.2832,
Visual feature extraction,warm,17,16.0,overloaded_20260613_033619_282ca705,overloaded,1229839600,1229.8396,
Visual feature extraction,warm,18,17.0,overloaded_20260613_034837_ef039e72,overloaded,1445544400,1445.5444,
Visual feature extraction,warm,19,18.0,overloaded_20260613_035141_5235db73,overloaded,1078949100,1078.9491,
Visual feature extraction,warm,20,19.0,overloaded_20260613_035456_84e4a548,overloaded,1047395700,1047.3957,
Visual feature extraction,warm,21,0.0,distracted_20260612_182215_e5cc9805,distracted,1165615100,1165.6151,
Visual feature extraction,warm,22,1.0,distracted_20260612_182451_ec3a7775,distracted,1224126900,1224.1269,
Visual feature extraction,warm,23,2.0,distracted_20260612_182647_3cd34247,distracted,1064132100,1064.1321,
Visual feature extraction,warm,24,3.0,distracted_20260612_183036_e039e44a,distracted,1049472300,1049.4723,
Visual feature extraction,warm,25,4.0,distracted_20260612_183225_53210ca7,distracted,1349524400,1349.5244,
Visual feature extraction,warm,26,5.0,fatigued_20260610_204849_ca81fca6,fatigued,1187120800,1187.1208,
Visual feature extraction,warm,27,6.0,fatigued_20260610_205607_8887b0f9,fatigued,1064222200,1064.2222,
Visual feature extraction,warm,28,7.0,fatigued_20260610_205905_8cfa4763,fatigued,1027869000,1027.869,
Visual feature extraction,warm,29,8.0,fatigued_20260610_210145_693e819a,fatigued,1366280400,1366.2804,
Visual feature extraction,warm,30,9.0,fatigued_20260610_210404_b81457e0,fatigued,1481815100,1481.8151,
Fusion/classifier,warm,1,0.0,distracted_20260612_182215_e5cc9805,distracted,135512100,135.5121,
Fusion/classifier,warm,2,1.0,distracted_20260612_182451_ec3a7775,distracted,129770800,129.7708,
Fusion/classifier,warm,3,2.0,distracted_20260612_182647_3cd34247,distracted,150663800,150.6638,
Fusion/classifier,warm,4,3.0,distracted_20260612_183036_e039e44a,distracted,128034300,128.0343,
Fusion/classifier,warm,5,4.0,distracted_20260612_183225_53210ca7,distracted,126413100,126.4131,
Fusion/classifier,warm,6,5.0,fatigued_20260610_204849_ca81fca6,fatigued,136076200,136.0762,
Fusion/classifier,warm,7,6.0,fatigued_20260610_205607_8887b0f9,fatigued,117909900,117.9099,
Fusion/classifier,warm,8,7.0,fatigued_20260610_205905_8cfa4763,fatigued,119385800,119.3858,
Fusion/classifier,warm,9,8.0,fatigued_20260610_210145_693e819a,fatigued,132570300,132.5703,
Fusion/classifier,warm,10,9.0,fatigued_20260610_210404_b81457e0,fatigued,139381000,139.381,
Fusion/classifier,warm,11,10.0,focused_20260611_203335_5f244a13,focused,131437600,131.4376,
Fusion/classifier,warm,12,11.0,focused_20260611_203933_8705813b,focused,110308100,110.3081,
Fusion/classifier,warm,13,12.0,focused_20260611_204136_cbee82eb,focused,195768600,195.7686,
Fusion/classifier,warm,14,13.0,focused_20260611_204247_e04a8459,focused,239630400,239.6304,
Fusion/classifier,warm,15,14.0,focused_20260611_204500_f993608f,focused,151856500,151.8565,
Fusion/classifier,warm,16,15.0,overloaded_20260612_223559_d6295534,overloaded,135653300,135.6533,
Fusion/classifier,warm,17,16.0,overloaded_20260613_033619_282ca705,overloaded,193115500,193.1155,
Fusion/classifier,warm,18,17.0,overloaded_20260613_034837_ef039e72,overloaded,148382500,148.3825,
Fusion/classifier,warm,19,18.0,overloaded_20260613_035141_5235db73,overloaded,125192500,125.1925,
Fusion/classifier,warm,20,19.0,overloaded_20260613_035456_84e4a548,overloaded,107137700,107.1377,
Fusion/classifier,warm,21,0.0,distracted_20260612_182215_e5cc9805,distracted,102489900,102.4899,
Fusion/classifier,warm,22,1.0,distracted_20260612_182451_ec3a7775,distracted,100226500,100.2265,
Fusion/classifier,warm,23,2.0,distracted_20260612_182647_3cd34247,distracted,100037300,100.0373,
Fusion/classifier,warm,24,3.0,distracted_20260612_183036_e039e44a,distracted,126854600,126.8546,
Fusion/classifier,warm,25,4.0,distracted_20260612_183225_53210ca7,distracted,148147900,148.1479,
Fusion/classifier,warm,26,5.0,fatigued_20260610_204849_ca81fca6,fatigued,125979700,125.9797,
Fusion/classifier,warm,27,6.0,fatigued_20260610_205607_8887b0f9,fatigued,105082700,105.0827,
Fusion/classifier,warm,28,7.0,fatigued_20260610_205905_8cfa4763,fatigued,130059700,130.0597,
Fusion/classifier,warm,29,8.0,fatigued_20260610_210145_693e819a,fatigued,125647900,125.6479,
Fusion/classifier,warm,30,9.0,fatigued_20260610_210404_b81457e0,fatigued,120070500,120.0705,
Warm end-to-end processing,warm,1,0.0,distracted_20260612_182215_e5cc9805,distracted,1503050200,1503.0502,
Warm end-to-end processing,warm,2,1.0,distracted_20260612_182451_ec3a7775,distracted,1763524400,1763.5244,
Warm end-to-end processing,warm,3,2.0,distracted_20260612_182647_3cd34247,distracted,2257601900,2257.6019,
Warm end-to-end processing,warm,4,3.0,distracted_20260612_183036_e039e44a,distracted,2132219900,2132.2199,
Warm end-to-end processing,warm,5,4.0,distracted_20260612_183225_53210ca7,distracted,3258309300,3258.3093,
Warm end-to-end processing,warm,6,5.0,fatigued_20260610_204849_ca81fca6,fatigued,3660461600,3660.4616,
Warm end-to-end processing,warm,7,6.0,fatigued_20260610_205607_8887b0f9,fatigued,3602754200,3602.7542,
Warm end-to-end processing,warm,8,7.0,fatigued_20260610_205905_8cfa4763,fatigued,3694744800,3694.7448,
Warm end-to-end processing,warm,9,8.0,fatigued_20260610_210145_693e819a,fatigued,1875306500,1875.3065,
Warm end-to-end processing,warm,10,9.0,fatigued_20260610_210404_b81457e0,fatigued,2770438400,2770.4384,
Warm end-to-end processing,warm,11,10.0,focused_20260611_203335_5f244a13,focused,3907926000,3907.926,
Warm end-to-end processing,warm,12,11.0,focused_20260611_203933_8705813b,focused,2217486200,2217.4862,
Warm end-to-end processing,warm,13,12.0,focused_20260611_204136_cbee82eb,focused,1617218000,1617.218,
Warm end-to-end processing,warm,14,13.0,focused_20260611_204247_e04a8459,focused,1800497000,1800.497,
Warm end-to-end processing,warm,15,14.0,focused_20260611_204500_f993608f,focused,1855218500,1855.2185,
Warm end-to-end processing,warm,16,15.0,overloaded_20260612_223559_d6295534,overloaded,1692543700,1692.5437,
Warm end-to-end processing,warm,17,16.0,overloaded_20260613_033619_282ca705,overloaded,1753540800,1753.5408,
Warm end-to-end processing,warm,18,17.0,overloaded_20260613_034837_ef039e72,overloaded,1821117800,1821.1178,
Warm end-to-end processing,warm,19,18.0,overloaded_20260613_035141_5235db73,overloaded,1633393300,1633.3933,
Warm end-to-end processing,warm,20,19.0,overloaded_20260613_035456_84e4a548,overloaded,2090231400,2090.2314,
Warm end-to-end processing,warm,21,0.0,distracted_20260612_182215_e5cc9805,distracted,1829090100,1829.0901,
Warm end-to-end processing,warm,22,1.0,distracted_20260612_182451_ec3a7775,distracted,1912628900,1912.6289,
Warm end-to-end processing,warm,23,2.0,distracted_20260612_182647_3cd34247,distracted,2448393000,2448.393,
Warm end-to-end processing,warm,24,3.0,distracted_20260612_183036_e039e44a,distracted,2341640900,2341.6409,
Warm end-to-end processing,warm,25,4.0,distracted_20260612_183225_53210ca7,distracted,3471801300,3471.8013,
Warm end-to-end processing,warm,26,5.0,fatigued_20260610_204849_ca81fca6,fatigued,3912493100,3912.4931,
Warm end-to-end processing,warm,27,6.0,fatigued_20260610_205607_8887b0f9,fatigued,3736360200,3736.3602,
Warm end-to-end processing,warm,28,7.0,fatigued_20260610_205905_8cfa4763,fatigued,3721473600,3721.4736,
Warm end-to-end processing,warm,29,8.0,fatigued_20260610_210145_693e819a,fatigued,1880952400,1880.9524,
Warm end-to-end processing,warm,30,9.0,fatigued_20260610_210404_b81457e0,fatigued,2872020400,2872.0204,
